id,totalprice,date_placed
364,49.5,'2022-12-02 20:30:11.448371'
374,60.5,'2022-12-03 15:30:11.448371'
392,48.0,'2022-12-03 21:00:11.448371'
401,65.0,'2022-12-03 13:00:11.448371'
404,50.5,'2022-12-03 18:30:11.448371'
421,46.0,'2022-12-03 18:30:11.448371'
424,49.5,'2022-12-03 19:00:11.448371'
443,52.5,'2022-12-04 14:30:11.448371'
444,69.5,'2022-12-04 20:30:11.448371'
446,47.0,'2022-12-04 16:30:11.448371'
448,65.5,'2022-12-04 20:30:11.448371'
452,45.0,'2022-12-04 20:00:11.448371'
454,59.0,'2022-12-04 12:00:11.448371'
457,53.0,'2022-12-04 20:00:11.448371'
465,54.0,'2022-12-04 15:30:11.448371'
480,63.0,'2022-12-04 17:00:11.448371'
484,67.0,'2022-12-04 15:00:11.448371'
494,52.0,'2022-12-05 21:30:11.448371'
509,47.5,'2022-12-05 15:30:11.448371'
520,62.0,'2022-12-05 21:00:11.448371'
526,57.0,'2022-12-05 14:30:11.448371'
529,47.0,'2022-12-05 18:00:11.448371'
535,45.0,'2022-12-05 15:30:11.448371'
547,52.5,'2022-12-06 14:30:11.448371'
548,35.0,'2022-12-06 21:30:11.448371'
558,37.0,'2022-12-06 21:00:11.448371'
561,47.0,'2022-12-06 12:30:11.448371'
568,37.0,'2022-12-06 16:00:11.448371'
574,49.5,'2022-12-06 17:30:11.448371'
587,53.0,'2022-12-06 15:30:11.448371'
591,40.5,'2022-12-06 12:00:11.448371'
616,53.0,'2022-12-07 21:00:11.461397'
622,51.5,'2022-12-07 11:00:11.461397'
630,52.0,'2022-12-07 19:00:11.461397'
639,57.0,'2022-12-07 20:00:11.461397'
640,49.0,'2022-12-07 11:00:11.461397'
647,58.0,'2022-12-07 11:00:11.461397'
651,48.0,'2022-12-07 19:30:11.461397'
653,60.0,'2022-12-07 16:00:11.461397'
667,64.5,'2022-12-07 12:30:11.461397'
668,62.5,'2022-12-07 20:00:11.461397'
669,38.0,'2022-12-08 11:00:11.461397'
672,35.0,'2022-12-08 15:00:11.461397'
674,40.0,'2022-12-08 20:30:11.461397'
675,42.5,'2022-12-08 12:00:11.461397'
680,53.0,'2022-12-08 20:30:11.461397'
683,34.5,'2022-12-08 13:00:11.461397'
685,45.0,'2022-12-08 19:30:11.461397'
686,40.5,'2022-12-08 17:30:11.461397'
688,34.0,'2022-12-08 17:00:11.461397'
691,33.0,'2022-12-08 16:00:11.461397'
699,40.5,'2022-12-08 22:00:11.464794'
700,43.0,'2022-12-08 22:00:11.464794'
703,36.5,'2022-12-08 13:00:11.464794'
709,37.5,'2022-12-08 20:00:11.464794'
710,35.5,'2022-12-08 16:30:11.464794'
717,40.0,'2022-12-08 11:00:11.464794'
718,47.0,'2022-12-08 17:00:11.464794'
722,51.0,'2022-12-08 22:00:11.464794'
725,46.0,'2022-12-08 18:00:11.464794'
734,38.0,'2022-12-08 11:00:11.464794'
765,66.0,'2022-12-09 19:00:11.464794'
767,47.5,'2022-12-09 19:00:11.464794'
769,50.0,'2022-12-09 12:30:11.464794'
775,54.0,'2022-12-09 13:30:11.464794'
790,68.0,'2022-12-09 15:00:11.464794'
798,66.0,'2022-12-09 19:00:11.464794'
803,48.0,'2022-12-10 17:30:11.464794'
815,53.0,'2022-12-10 15:30:11.464794'
821,44.5,'2022-12-10 17:30:11.464794'
829,55.5,'2022-12-10 14:30:11.464794'
835,55.0,'2022-12-10 18:00:11.464794'
842,37.5,'2022-12-10 19:30:11.464794'
847,48.0,'2022-12-10 14:30:11.464794'
849,39.0,'2022-12-10 18:30:11.464794'
857,50.5,'2022-12-10 15:00:11.464794'
861,38.0,'2022-12-10 17:30:11.464794'
865,40.5,'2022-12-10 12:00:11.464794'
872,54.0,'2022-12-11 18:00:11.464794'
874,43.0,'2022-12-11 11:30:11.464794'
875,48.0,'2022-12-11 21:00:11.464794'
881,63.5,'2022-12-11 20:00:11.464794'
892,62.0,'2022-12-11 14:30:11.464794'
897,62.5,'2022-12-11 20:30:11.464794'
909,67.0,'2022-12-11 14:00:11.464794'
938,36.5,'2022-12-12 20:00:11.464794'
942,50.0,'2022-12-12 11:00:11.464794'
945,47.0,'2022-12-12 21:00:11.464794'
954,35.0,'2022-12-12 19:00:11.464794'
955,50.0,'2022-12-12 22:00:11.464794'
958,53.0,'2022-12-12 20:00:11.464794'
970,49.0,'2022-12-12 17:30:11.464794'
984,51.5,'2022-12-12 22:00:11.464794'
986,48.0,'2022-12-12 20:00:11.464794'
995,50.5,'2022-12-13 22:30:11.464794'
1004,44.0,'2022-12-13 14:00:11.464794'
1008,48.0,'2022-12-13 14:30:11.464794'
1014,59.5,'2022-12-13 22:30:11.464794'
1018,53.5,'2022-12-13 16:30:11.464794'
1020,47.5,'2022-12-13 17:30:11.464794'
1021,59.5,'2022-12-13 14:30:11.464794'
1023,54.0,'2022-12-13 12:00:11.464794'
1028,67.0,'2022-12-13 15:30:11.464794'
1030,50.0,'2022-12-13 13:30:11.464794'
1039,63.5,'2022-12-13 15:30:11.464794'
1040,64.5,'2022-12-13 22:30:11.464794'
1048,51.0,'2022-12-13 22:30:11.464794'
1056,49.5,'2022-12-14 11:00:11.464794'
1058,52.0,'2022-12-14 15:00:11.464794'
1061,52.5,'2022-12-14 18:30:11.464794'
1067,49.5,'2022-12-14 19:00:11.464794'
1068,59.5,'2022-12-14 18:00:11.464794'
1071,66.0,'2022-12-14 13:30:11.464794'
1073,49.0,'2022-12-14 11:00:11.464794'
1076,45.5,'2022-12-14 19:30:11.464794'
1083,48.0,'2022-12-14 22:30:11.464794'
1084,46.5,'2022-12-14 20:00:11.464794'
1085,70.0,'2022-12-14 20:00:11.464794'
1086,63.0,'2022-12-14 17:00:11.464794'
1087,48.5,'2022-12-14 12:30:11.464794'
1096,43.0,'2022-12-14 11:00:11.464794'
1097,61.5,'2022-12-14 11:00:11.464794'
1099,64.5,'2022-12-14 20:30:11.464794'
1102,55.0,'2022-12-14 21:30:11.464794'
1105,52.0,'2022-12-14 13:30:11.464794'
1106,48.5,'2022-12-14 12:30:11.464794'
1110,48.5,'2022-12-14 17:30:11.464794'
1115,64.5,'2022-12-14 20:00:11.464794'
1120,47.5,'2022-12-15 11:00:11.464794'
1121,65.5,'2022-12-15 16:30:11.464794'
1127,47.0,'2022-12-15 15:30:11.464794'
1152,54.5,'2022-12-15 19:00:11.464794'
1157,69.5,'2022-12-15 13:00:11.464794'
1171,63.5,'2022-12-15 12:30:11.464794'
1176,50.5,'2022-12-16 19:30:11.464794'
1177,49.5,'2022-12-16 16:30:11.464794'
1183,65.5,'2022-12-16 12:00:11.464794'
1189,45.0,'2022-12-16 17:00:11.464794'
1191,64.0,'2022-12-16 16:30:11.464794'
1192,53.5,'2022-12-16 12:00:11.464794'
1193,62.0,'2022-12-16 15:00:11.464794'
1211,51.5,'2022-12-16 12:30:11.464794'
1215,50.5,'2022-12-16 12:00:11.464794'
1219,46.5,'2022-12-16 13:30:11.464794'
1231,63.5,'2022-12-16 22:30:11.464794'
1240,36.0,'2022-12-17 19:00:11.464794'
1262,40.0,'2022-12-17 13:30:11.464794'
1267,51.0,'2022-12-17 15:30:11.464794'
1277,55.5,'2022-12-17 15:00:11.464794'
1279,40.0,'2022-12-17 21:30:11.464794'
1284,32.5,'2022-12-17 20:30:11.464794'
1286,50.0,'2022-12-17 18:00:11.464794'
1290,37.5,'2022-12-17 17:00:11.464794'
1296,43.0,'2022-12-18 21:00:11.464794'
1299,51.0,'2022-12-18 16:00:11.464794'
1303,50.5,'2022-12-18 21:30:11.464794'
1304,50.5,'2022-12-18 14:30:11.464794'
1307,65.0,'2022-12-18 16:00:11.464794'
1317,50.0,'2022-12-18 18:30:11.477306'
1319,68.0,'2022-12-18 20:00:11.477306'
1329,55.0,'2022-12-18 20:00:11.477306'
1332,62.0,'2022-12-18 15:00:11.477306'
1338,42.0,'2022-12-18 14:30:11.477306'
1343,50.5,'2022-12-18 11:00:11.478314'
1352,53.5,'2022-12-18 13:00:11.478314'
1368,50.5,'2022-12-19 13:30:11.478314'
1370,63.0,'2022-12-19 20:30:11.478314'
1371,58.5,'2022-12-19 17:30:11.478314'
1375,50.0,'2022-12-19 20:30:11.478314'
1379,60.5,'2022-12-19 20:30:11.478314'
1383,49.5,'2022-12-19 14:30:11.478314'
1385,43.0,'2022-12-19 19:30:11.478314'
1396,60.5,'2022-12-19 21:00:11.478314'
1400,51.0,'2022-12-19 12:30:11.478314'
1422,37.5,'2022-12-20 16:30:11.478314'
1432,52.0,'2022-12-20 11:00:11.478314'
1447,52.5,'2022-12-20 21:00:11.478314'
1454,44.5,'2022-12-20 19:30:11.478314'
1473,53.0,'2022-12-21 11:30:11.478314'
1480,34.0,'2022-12-21 15:00:11.478314'
1483,49.5,'2022-12-21 21:30:11.478314'
1484,47.0,'2022-12-21 18:00:11.478314'
1487,49.0,'2022-12-21 14:30:11.478314'
1491,47.0,'2022-12-21 20:00:11.478314'
1496,54.5,'2022-12-21 20:30:11.478314'
1503,47.0,'2022-12-21 22:30:11.478314'
1513,49.5,'2022-12-21 16:00:11.478314'
1527,50.5,'2022-12-21 13:00:11.478314'
1537,35.5,'2022-12-21 21:30:11.478314'
1569,63.0,'2022-12-22 19:30:11.478314'
1575,47.0,'2022-12-22 16:00:11.478314'
1580,49.0,'2022-12-22 22:00:11.478314'
1590,52.5,'2022-12-22 18:30:11.478314'
1592,61.0,'2022-12-22 17:30:11.478314'
1594,42.5,'2022-12-22 13:00:11.478314'
1599,49.0,'2022-12-22 13:30:11.478314'
1601,37.5,'2022-12-23 15:00:11.478314'
1610,49.0,'2022-12-23 14:00:11.478314'
1627,38.0,'2022-12-23 19:30:11.478314'
1635,50.5,'2022-12-23 14:30:11.478314'
1642,32.0,'2022-12-23 14:30:11.478314'
1651,53.0,'2022-12-23 12:00:11.478314'
1654,48.0,'2022-12-23 12:30:11.478314'
1655,34.0,'2022-12-23 13:30:11.478314'
1656,37.0,'2022-12-23 14:30:11.478314'
1659,30.0,'2022-12-23 19:00:11.478314'
1670,37.0,'2022-12-24 18:00:11.478314'
1671,39.5,'2022-12-24 17:30:11.478314'
1672,57.0,'2022-12-24 14:00:11.478314'
1681,37.0,'2022-12-24 18:00:11.478314'
1688,50.0,'2022-12-24 18:00:11.478314'
1691,49.5,'2022-12-24 11:30:11.478314'
1693,40.0,'2022-12-24 16:00:11.478314'
1699,40.5,'2022-12-24 14:30:11.478314'
1708,40.0,'2022-12-24 18:00:11.478314'
1711,47.5,'2022-12-24 15:30:11.478314'
1716,38.5,'2022-12-24 19:00:11.478314'
1730,52.5,'2022-12-24 15:30:11.478314'
1740,48.5,'2022-12-25 22:30:11.478314'
1741,47.5,'2022-12-25 13:30:11.478314'
1748,49.0,'2022-12-25 16:30:11.478314'
1762,49.5,'2022-12-25 15:00:11.478314'
1770,38.0,'2022-12-25 16:00:11.478314'
1786,45.5,'2022-12-25 20:30:11.478314'
1787,40.0,'2022-12-25 12:00:11.478314'
1791,47.0,'2022-12-25 22:00:11.478314'
1793,47.5,'2022-12-25 12:00:11.478314'
1798,33.0,'2022-12-25 21:30:11.478314'
1799,36.0,'2022-12-25 15:30:11.478314'
1807,52.5,'2022-12-26 21:30:11.478314'
1808,64.0,'2022-12-26 20:30:11.478314'
1810,58.0,'2022-12-26 19:00:11.478314'
1820,47.5,'2022-12-26 20:00:11.478314'
1821,60.5,'2022-12-26 18:30:11.478314'
1832,61.0,'2022-12-26 21:30:11.478314'
1834,61.0,'2022-12-26 20:00:11.478314'
1836,65.5,'2022-12-26 21:00:11.478314'
1850,47.5,'2022-12-26 14:00:11.478314'
1856,53.5,'2022-12-26 18:00:11.478314'
1866,42.5,'2022-12-26 17:30:11.478314'
1868,35.5,'2022-12-27 13:30:11.478314'
1877,40.0,'2022-12-27 18:00:11.478314'
1884,43.0,'2022-12-27 12:00:11.478314'
1887,52.5,'2022-12-27 20:00:11.478314'
1901,35.0,'2022-12-27 14:00:11.478314'
1902,50.5,'2022-12-27 22:30:11.478314'
1906,50.0,'2022-12-27 12:00:11.478314'
1910,53.0,'2022-12-27 18:00:11.478314'
1911,37.0,'2022-12-27 22:00:11.478314'
1914,40.5,'2022-12-27 11:30:11.478314'
1920,37.5,'2022-12-27 22:30:11.478314'
1921,35.5,'2022-12-27 19:30:11.478314'
1923,35.0,'2022-12-27 18:30:11.478314'
1927,46.5,'2022-12-27 15:00:11.478314'
1939,44.5,'2022-12-28 20:30:11.478314'
1947,52.0,'2022-12-28 19:30:11.478314'
1955,60.5,'2022-12-28 20:30:11.478314'
1959,59.0,'2022-12-28 11:30:11.478314'
1980,49.5,'2022-12-28 13:00:11.478314'
1982,59.0,'2022-12-28 11:30:11.478314'
1988,53.0,'2022-12-28 16:00:11.478314'
1995,67.5,'2022-12-28 16:30:11.478314'
2008,61.0,'2022-12-29 14:00:11.478314'
2010,59.5,'2022-12-29 20:00:11.478314'
2036,55.0,'2022-12-29 22:30:11.478314'
2039,64.0,'2022-12-29 11:00:11.478314'
2041,52.5,'2022-12-29 18:00:11.478314'
2049,63.5,'2022-12-29 13:30:11.478314'
2051,47.0,'2022-12-29 14:30:11.478314'
2055,42.0,'2022-12-29 11:30:11.478314'
2063,58.5,'2022-12-29 12:00:11.478314'
2068,50.0,'2022-12-30 17:30:11.478314'
2076,67.5,'2022-12-30 20:00:11.478314'
2077,64.5,'2022-12-30 13:00:11.478314'
2082,52.0,'2022-12-30 15:30:11.478314'
2094,61.5,'2022-12-30 12:30:11.478314'
2102,48.5,'2022-12-30 14:00:11.478314'
2104,70.0,'2022-12-30 14:30:11.478314'
2110,60.0,'2022-12-30 14:00:11.478314'
2113,59.0,'2022-12-30 16:30:11.478314'
2115,50.0,'2022-12-30 13:00:11.478314'
2137,32.5,'2022-12-31 19:30:11.478314'
2138,55.0,'2022-12-31 12:00:11.478314'
2146,37.5,'2022-12-31 11:30:11.478314'
2158,53.5,'2022-12-31 19:00:11.478314'
2159,37.0,'2022-12-31 15:30:11.478314'
2160,45.5,'2022-12-31 19:30:11.478314'
2163,47.5,'2022-12-31 13:30:11.478314'
2168,48.0,'2022-12-31 18:30:11.478314'
2169,45.0,'2022-12-31 16:30:11.478314'
2171,55.5,'2022-12-31 12:30:11.478314'
2182,53.0,'2022-12-31 15:00:11.478314'
2192,53.5,'2023-01-01 18:00:11.478314'
2193,40.5,'2023-01-01 14:30:11.478314'
2208,47.5,'2023-01-01 19:30:11.478314'
2214,40.0,'2023-01-01 15:00:11.478314'
2222,50.5,'2023-01-01 20:00:11.478314'
2223,40.0,'2023-01-01 12:30:11.478314'
2229,37.5,'2023-01-01 21:00:11.478314'
2230,40.0,'2023-01-01 19:00:11.478314'
2240,44.5,'2023-01-01 20:30:11.478314'
2241,47.5,'2023-01-01 21:00:11.478314'
2253,62.0,'2023-01-02 17:30:11.478314'
2254,56.5,'2023-01-02 16:30:11.478314'
2256,64.5,'2023-01-02 14:30:11.478314'
2262,65.0,'2023-01-02 14:00:11.478314'
2270,49.5,'2023-01-02 14:00:11.478314'
2279,47.5,'2023-01-02 18:00:11.478314'
2282,57.5,'2023-01-02 17:30:11.478314'
2288,55.0,'2023-01-02 20:30:11.478314'
2294,50.5,'2023-01-02 20:30:11.493340'
2301,49.5,'2023-01-02 21:30:11.493340'
2302,58.5,'2023-01-02 20:00:11.493340'
2304,50.0,'2023-01-03 22:00:11.493340'
2318,50.5,'2023-01-03 13:30:11.493340'
2319,56.0,'2023-01-03 18:30:11.493340'
2321,54.0,'2023-01-03 16:00:11.493340'
2326,65.0,'2023-01-03 14:30:11.493340'
2337,63.0,'2023-01-03 21:30:11.493340'
2346,61.5,'2023-01-03 22:30:11.493340'
2360,64.5,'2023-01-03 12:00:11.493340'
2361,47.5,'2023-01-03 17:30:11.493340'
2364,63.5,'2023-01-03 21:30:11.493340'
2365,45.5,'2023-01-03 13:00:11.493340'
2375,53.0,'2023-01-04 18:30:11.493340'
2376,50.5,'2023-01-04 12:00:11.493340'
2381,38.0,'2023-01-04 18:00:11.493340'
2386,40.0,'2023-01-04 19:30:11.493340'
2388,53.0,'2023-01-04 19:00:11.493340'
2389,48.0,'2023-01-04 17:00:11.493340'
2392,45.0,'2023-01-04 16:30:11.493340'
2414,38.0,'2023-01-04 14:00:11.493340'
2429,43.0,'2023-01-04 18:30:11.493340'
2435,50.0,'2023-01-04 20:00:11.493340'
2454,50.0,'2023-01-05 12:30:11.493340'
2456,67.0,'2023-01-05 14:00:11.493340'
2466,60.0,'2023-01-05 13:00:11.493340'
2468,52.5,'2023-01-05 18:00:11.493340'
2477,51.5,'2023-01-05 18:30:11.493340'
2485,52.5,'2023-01-05 11:00:11.493340'
2487,47.0,'2023-01-05 22:00:11.493340'
2495,48.0,'2023-01-06 14:00:11.493340'
2498,58.0,'2023-01-06 15:30:11.493340'
2501,37.5,'2023-01-06 19:00:11.493340'
2502,37.0,'2023-01-06 19:00:11.493340'
2514,46.5,'2023-01-06 12:00:11.493340'
2515,54.5,'2023-01-06 19:00:11.493340'
2517,50.0,'2023-01-06 15:00:11.493340'
2521,39.0,'2023-01-06 15:00:11.493340'
2529,33.0,'2023-01-06 15:00:11.493340'
2531,52.0,'2023-01-06 11:00:11.493340'
2533,55.5,'2023-01-06 15:00:11.493340'
2554,33.0,'2023-01-06 19:30:11.493340'
2555,45.0,'2023-01-06 14:30:11.493340'
2568,35.5,'2023-01-07 18:30:11.493340'
2572,46.5,'2023-01-07 16:00:11.493340'
2573,54.0,'2023-01-07 15:00:11.493340'
2580,47.5,'2023-01-07 16:30:11.493340'
2638,37.0,'2023-01-08 14:30:11.493340'
2639,47.5,'2023-01-08 15:00:11.493340'
2640,40.0,'2023-01-08 19:00:11.493340'
2648,47.0,'2023-01-08 22:30:11.493340'
2654,50.0,'2023-01-08 13:00:11.493340'
2655,50.0,'2023-01-08 21:00:11.493340'
2662,50.5,'2023-01-08 21:00:11.493340'
2663,37.0,'2023-01-08 13:30:11.493340'
2664,37.0,'2023-01-08 16:00:11.493340'
2669,47.0,'2023-01-08 16:30:11.493340'
2671,50.0,'2023-01-08 14:00:11.493340'
2675,47.5,'2023-01-08 13:00:11.493340'
2679,34.0,'2023-01-08 14:00:11.493340'
2682,46.5,'2023-01-08 20:30:11.493340'
2686,38.0,'2023-01-08 15:30:11.493340'
2700,47.0,'2023-01-09 20:00:11.493340'
2705,48.5,'2023-01-09 21:00:11.493340'
2708,50.0,'2023-01-09 17:30:11.493340'
2711,55.0,'2023-01-09 21:00:11.493340'
2714,60.0,'2023-01-09 19:00:11.493340'
2716,66.0,'2023-01-09 21:30:11.493340'
2717,45.5,'2023-01-09 21:30:11.493340'
2720,61.5,'2023-01-09 14:30:11.493340'
2729,50.0,'2023-01-09 19:30:11.493340'
2736,62.5,'2023-01-09 18:30:11.493340'
2750,48.5,'2023-01-09 21:00:11.493340'
2762,40.0,'2023-01-10 11:00:11.493340'
2765,43.0,'2023-01-10 18:00:11.493340'
2767,32.5,'2023-01-10 13:00:11.493340'
2769,52.0,'2023-01-10 22:00:11.493340'
2780,50.5,'2023-01-10 21:30:11.493340'
2782,35.0,'2023-01-10 13:00:11.493340'
2792,48.5,'2023-01-10 16:30:11.493340'
2810,48.0,'2023-01-10 22:30:11.493340'
2812,35.0,'2023-01-10 13:00:11.493340'
2820,38.0,'2023-01-11 14:00:11.493340'
2830,51.0,'2023-01-11 18:30:11.493340'
2841,49.5,'2023-01-11 11:30:11.493340'
2851,42.0,'2023-01-11 22:30:11.493340'
2868,46.5,'2023-01-11 19:00:11.493340'
2870,47.5,'2023-01-11 20:30:11.493340'
2871,55.0,'2023-01-11 19:30:11.493340'
2872,52.0,'2023-01-11 12:00:11.493340'
2888,48.0,'2023-01-12 13:00:11.493340'
2890,47.5,'2023-01-12 21:30:11.493340'
2896,65.5,'2023-01-12 12:30:11.493340'
2901,50.5,'2023-01-12 22:00:11.493340'
2908,52.5,'2023-01-12 11:00:11.493340'
2927,70.0,'2023-01-12 21:00:11.493340'
2931,60.0,'2023-01-12 21:00:11.493340'
2932,58.0,'2023-01-12 12:00:11.493340'
2938,63.5,'2023-01-12 14:30:11.493340'
2948,58.0,'2023-01-12 13:30:11.493340'
2952,70.5,'2023-01-12 19:30:11.493340'
2959,59.5,'2023-01-13 14:00:11.493340'
2966,59.5,'2023-01-13 15:30:11.493340'
2975,50.5,'2023-01-13 20:30:11.493340'
2985,50.0,'2023-01-13 17:30:11.493340'
2988,51.5,'2023-01-13 15:30:11.493340'
2992,52.5,'2023-01-13 14:00:11.493340'
3000,51.0,'2023-01-13 11:30:11.493340'
3005,60.0,'2023-01-13 14:30:11.493340'
3007,57.0,'2023-01-13 17:30:11.493340'
3010,40.0,'2023-01-14 19:00:11.493340'
3013,35.0,'2023-01-14 22:30:11.493340'
3014,37.5,'2023-01-14 20:30:11.493340'
3020,57.0,'2023-01-14 19:30:11.493340'
3040,37.5,'2023-01-14 14:30:11.493340'
3047,38.0,'2023-01-14 22:30:11.493340'
3049,50.0,'2023-01-14 14:30:11.493340'
3054,34.5,'2023-01-14 19:00:11.493340'
3055,47.5,'2023-01-14 12:00:11.493340'
3058,40.0,'2023-01-14 14:30:11.493340'
3067,48.0,'2023-01-15 12:00:11.493340'
3074,48.0,'2023-01-15 21:00:11.493340'
3075,39.0,'2023-01-15 19:00:11.493340'
3077,34.5,'2023-01-15 22:00:11.493340'
3081,50.5,'2023-01-15 16:00:11.493340'
3083,37.5,'2023-01-15 20:00:11.493340'
3086,34.5,'2023-01-15 15:00:11.493340'
3101,37.5,'2023-01-15 20:30:11.493340'
3103,47.5,'2023-01-15 20:30:11.493340'
3105,36.5,'2023-01-15 15:00:11.493340'
3114,42.5,'2023-01-15 15:00:11.493340'
3122,41.0,'2023-01-15 15:30:11.493340'
3125,47.0,'2023-01-15 17:00:11.493340'
3127,49.5,'2023-01-15 15:30:11.493340'
3130,46.0,'2023-01-15 17:00:11.493340'
3132,45.0,'2023-01-15 13:00:11.493340'
3134,49.5,'2023-01-15 19:00:11.493340'
3137,64.5,'2023-01-16 18:00:11.493340'
3140,50.5,'2023-01-16 20:30:11.493340'
3152,49.5,'2023-01-16 17:00:11.493340'
3153,46.5,'2023-01-16 19:30:11.493340'
3159,50.0,'2023-01-16 15:00:11.493340'
3160,59.5,'2023-01-16 18:30:11.493340'
3167,60.0,'2023-01-16 15:00:11.493340'
3179,60.0,'2023-01-16 20:00:11.493340'
3180,47.0,'2023-01-16 12:00:11.493340'
3191,55.5,'2023-01-17 22:30:11.493340'
3207,47.5,'2023-01-17 13:00:11.508999'
3208,43.0,'2023-01-17 12:30:11.508999'
3213,38.5,'2023-01-17 17:00:11.508999'
3219,53.0,'2023-01-17 18:30:11.508999'
3227,39.5,'2023-01-17 18:30:11.508999'
3248,48.0,'2023-01-17 22:30:11.508999'
3252,47.5,'2023-01-18 12:30:11.508999'
3256,48.0,'2023-01-18 11:00:11.508999'
3257,52.0,'2023-01-18 20:00:11.508999'
3279,64.0,'2023-01-18 13:00:11.508999'
3297,44.5,'2023-01-18 13:00:11.508999'
3305,53.0,'2023-01-18 15:30:11.508999'
3322,37.5,'2023-01-19 15:00:11.508999'
3326,48.0,'2023-01-19 18:30:11.508999'
3332,38.0,'2023-01-19 19:00:11.508999'
3341,36.5,'2023-01-19 20:00:11.508999'
3348,53.0,'2023-01-19 12:30:11.508999'
3354,53.0,'2023-01-19 17:00:11.508999'
3370,57.0,'2023-01-19 19:30:11.508999'
3395,50.0,'2023-01-20 13:00:11.508999'
3396,50.0,'2023-01-20 20:30:11.508999'
3400,44.0,'2023-01-20 14:30:11.508999'
3409,48.0,'2023-01-20 12:30:11.508999'
3414,49.5,'2023-01-20 13:00:11.508999'
3416,53.5,'2023-01-20 15:30:11.508999'
3442,46.0,'2023-01-21 17:00:11.508999'
3446,63.0,'2023-01-21 17:00:11.508999'
3448,49.5,'2023-01-21 18:00:11.508999'
3449,58.5,'2023-01-21 14:30:11.508999'
